state,season,crop,plot_area,avg_temp,total_rainfall,humidity,drought_index,soil_type,soil_texture,soil_ph,soil_organic_carbon,fertilizer_n,fertilizer_p,fertilizer_k,previous_crop,year,ndvi_mean,production,yield_t_ha
tamil nadu,rabi,rice,1.23,27.86,1449.67,68.12,0.28,laterite,silty,7.04,0.66,145.7,40.03,79.69,rice,2021,0.78,23.61,19.16
karnataka,summer,rice,1.36,28.02,1476.74,69.66,0.17,laterite,silty,6.74,0.99,112.67,74.4,67.21,rice,2016,0.73,27.29,20.03
telangana,rabi,rice,1.69,29.12,1197.33,81.66,0.14,alluvial,sandy,6.47,0.84,138.96,57.99,55.81,sugarcane,2023,0.79,31.1,18.37
telangana,kharif,rice,3.99,27.09,1329.55,81.89,0.24,laterite,silty,6.65,0.98,117.99,45.64,72.09,rice,2018,0.81,79.98,20.05
tamil nadu,summer,rice,1.46,28.89,1458.21,72.17,0.24,laterite,silty,7.04,0.63,99.23,62.45,55.32,cotton,2010,0.79,27.18,18.57
tamil nadu,rabi,rice,4.58,27.07,1509.96,69.03,0.17,alluvial,sandy,6.57,0.78,122.31,61.59,48.12,maize,2016,0.79,92.59,20.2
andhra pradesh,summer,rice,4.57,27.5,1319.15,68.73,0.22,black,loamy,6.65,0.92,137.26,74.43,40.28,cotton,2018,0.8,87.17,19.07
andhra pradesh,rabi,rice,3.23,29.95,1367.23,69.38,0.15,laterite,silty,6.48,0.67,97.62,59.89,52.04,rice,2017,0.74,58.62,18.14
karnataka,summer,rice,1.96,27.57,1410.23,83.17,0.2,red,silty,6.17,0.71,96.63,69.13,54.71,sugarcane,2011,0.72,36.78,18.78
maharashtra,summer,rice,3.71,28.59,1399.26,76.82,0.15,red,silty,6.02,0.62,125.16,46.97,67.64,wheat,2017,0.86,71.05,19.15
karnataka,kharif,rice,3.22,27.11,1361.17,81.34,0.23,alluvial,silty,6.64,0.86,124.32,53.56,53.97,cotton,2013,0.73,60.74,18.86
andhra pradesh,summer,rice,3.43,28.25,1379.41,82.97,0.17,alluvial,loamy,6.01,0.66,99.87,52.21,59.42,cotton,2022,0.77,64.3,18.77
maharashtra,rabi,rice,4.4,27.05,1473.45,77.99,0.14,red,clayey,6.79,0.9,97.08,78.92,55.72,cotton,2020,0.71,86.87,19.76
andhra pradesh,kharif,rice,2.12,28.01,1414.59,79.45,0.19,laterite,silty,6.03,0.68,112.9,51.18,75.34,sugarcane,2018,0.82,42.04,19.8
telangana,kharif,rice,2.22,28.34,1387.24,66.51,0.28,black,sandy,6.23,0.99,139.09,77.2,42.82,wheat,2024,0.86,44.02,19.8
maharashtra,rabi,rice,2.17,29.06,1225.09,72.19,0.24,alluvial,silty,6.97,0.88,143.93,60.45,60.06,maize,2013,0.75,39.44,18.14
tamil nadu,rabi,rice,1.38,28.99,1533.09,72.51,0.21,black,clayey,6.69,0.74,82.14,41.49,72.9,cotton,2021,0.76,26.88,19.53
tamil nadu,rabi,rice,3.8,28.97,1346.53,73.23,0.26,laterite,clayey,6.17,0.68,102.61,71.81,50.83,sugarcane,2019,0.72,67.57,17.79
tamil nadu,summer,rice,3.86,29.66,1322.82,75.98,0.18,red,silty,6.79,0.7,119.62,46.35,44.81,maize,2023,0.73,69.75,18.08
karnataka,summer,rice,4.8,28.7,1565.14,65.96,0.18,black,clayey,7.06,0.86,145.34,60.04,61.58,maize,2013,0.78,95.8,19.97
andhra pradesh,kharif,rice,1.51,28.15,1456.78,76.47,0.23,laterite,clayey,6.97,0.87,94.47,50.96,48.58,wheat,2022,0.81,30.15,19.92
karnataka,rabi,rice,4.26,28.28,1513.62,65.47,0.19,alluvial,clayey,6.34,0.94,124.03,75.1,69.4,maize,2022,0.72,84.56,19.86
tamil nadu,kharif,rice,2.49,27.44,1317.1,73.25,0.23,red,loamy,6.93,1.0,131.79,49.53,55.11,rice,2023,0.79,48.36,19.44
karnataka,rabi,rice,4.39,25.54,1379.78,84.17,0.17,red,silty,6.43,0.62,113.78,59.72,43.33,maize,2012,0.75,82.49,18.8
maharashtra,rabi,rice,4.98,30.14,1512.35,84.48,0.21,red,silty,6.07,0.97,128.16,73.48,74.67,maize,2017,0.73,98.84,19.83
karnataka,summer,rice,4.94,27.53,1567.53,83.94,0.13,red,loamy,6.9,0.93,106.46,68.2,49.95,cotton,2016,0.76,101.74,20.58
andhra pradesh,summer,rice,4.29,27.58,1241.35,80.34,0.1,laterite,loamy,6.89,0.9,85.8,61.13,57.45,wheat,2021,0.82,81.73,19.05
